workload,gpu,problem_size,variant,stage,tile_size,time_ms,gflops,correct,max_abs_error
stencil,A40,65536,V1,1,256,0.007168,255.999996,1,0.000000
stencil,A40,65536,V3,2,256,0.007168,255.999996,1,0.000000
stencil,A40,65536,V3,3,256,0.007168,255.999996,1,0.000000
stencil,A40,65536,V3,4,256,0.006656,275.692301,1,0.000000
stencil,A40,262144,V1,1,256,0.010240,716.800018,1,0.000000
stencil,A40,262144,V3,2,256,0.011264,651.636359,1,0.000000
stencil,A40,262144,V3,3,256,0.010240,716.800018,1,0.000000
stencil,A40,262144,V3,4,256,0.010240,716.800018,1,0.000000
stencil,A40,1048576,V1,1,256,0.033792,868.848478,1,0.000000
stencil,A40,1048576,V3,2,256,0.036864,796.444416,1,0.000000
stencil,A40,1048576,V3,3,256,0.035840,819.199978,1,0.000000
stencil,A40,1048576,V3,4,256,0.039424,744.727302,1,0.000000
stencil,A40,4194304,V1,1,256,0.119808,980.239289,1,0.000000
stencil,A40,4194304,V3,2,256,0.126976,924.903238,1,0.000000
stencil,A40,4194304,V3,3,256,0.125952,932.422724,1,0.000000
stencil,A40,4194304,V3,4,256,0.123904,947.834732,1,0.000000
stencil,A40,16777216,V1,1,256,0.459776,1021.719345,1,0.000000
stencil,A40,16777216,V3,2,256,0.487936,962.753430,1,0.000000
stencil,A40,16777216,V3,3,256,0.488448,961.744247,1,0.000000
stencil,A40,16777216,V3,4,256,0.482816,972.962863,1,0.000000
stencil,A40,67108864,V1,1,256,1.816576,1034.390077,1,0.000000
stencil,A40,67108864,V3,2,256,1.926656,975.289924,1,0.000000
stencil,A40,67108864,V3,3,256,1.931264,972.962863,1,0.000000
stencil,A40,67108864,V3,4,256,1.897472,990.290327,1,0.000000
